id,city,district,drainage_company,wwtp_name,treatment_capacity_10k_m3_per_day,annual_treatment_volume_10k_m3,treatment_process,advanced_treatment_process,disinfection_method,cod_influent_mg_l,cod_effluent_mg_l,bod5_influent_mg_l,bod5_effluent_mg_l,ss_influent_mg_l,ss_effluent_mg_l,nh3n_influent_mg_l,nh3n_effluent_mg_l,tn_influent_mg_l,tn_effluent_mg_l,tp_influent_mg_l,tp_effluent_mg_l,annual_electricity_consumption_kwh,sludge_treatment_process,treatment_process_standardized
11,南京市,玄武区,江苏金陵环境股份有限公司,江苏金陵环境股份有限公司八卦洲污水处理厂,0.5,124.62,改良型A2/O,深床滤池,次氯酸钠消毒,141.0,16.3,66.9,1.1,112.0,5.0,23.1,0.28,27.2,7.85,3.67,0.14,926440.0,A2O法,Modified A2O
12,南京市,玄武区,江苏金陵环境股份有限公司,城北污水处理厂（一级A段）,30.0,10926.54,UNITANK,高效沉淀池＋曝气生物滤池＋转盘滤布滤池,液氯消毒,223.0,22.0,111.0,2.22,186.0,6.0,22.1,0.22,28.8,10.4,3.32,0.1,7733500.0,SBR工艺,UNITANK
13,南京市,玄武区,江苏金陵环境股份有限公司,城南污水处理厂,20.0,2995.45,改良型A2/O,反硝化深床滤池,次氯酸钠＋紫外,272.0,15.0,104.0,2.2,127.0,5.0,26.5,0.28,30.7,6.82,3.16,0.16,13200239.0,A2O法,Modified A2O
14,南京市,玄武区,江苏金陵环境股份有限公司,江苏金陵环境股份有限公司城东三期污水处理厂,15.0,5451.78,多段强化脱氮改良剂A2/O,MBR工艺,次氯酸消毒,217.0,16.0,80.5,1.4,183.0,5.0,32.1,0.53,34.9,7.38,3.79,0.24,20707200.0,A2O法,Modified A2O
15,常州市,天宁区,常州市城市排水有限公司,常州市城市排水有限公司江边污水处理厂,30.0,6880.53,AAO,高效沉淀+V型滤池,次氯酸钠,314.0,14.7,125.0,2.0,149.0,5.0,29.7,0.1,42.0,7.8,4.99,0.1,20881907.0,A2O法,A2O
16,常州市,天宁区,常州市城市排水有限公司,常州市城市排水有限公司戚墅墅污水处理厂,9.5,3107.6,AAO,高效沉淀+V型滤池,次氯酸钠,270.0,11.4,125.0,2.0,128.0,4.0,22.2,0.1,30.6,7.21,4.0,0.06,11463450.0,A2O法,A2O
17,常州市,天宁区,常州市城市排水有限公司,常州市深水城北污水处理厂,15.0,5434.56,AAO,高效沉淀+V型滤池,次氯酸钠,310.0,13.0,170.0,2.5,192.0,4.0,29.0,0.21,38.1,6.98,5.0,0.13,17198637.0,A2O法,A2O
18,常州市,天宁区,常州市城市排水有限公司,常州市深水江边污水处理有限公司,20.0,6744.88,AAO,高效沉淀+V型滤池,次氯酸,242.0,26.0,120.0,2.72,127.0,5.0,22.3,0.4,29.0,0.26,2.61,0.16,19247000.0,A2O法,A2O
19,苏州市,姑苏区,苏州市排水有限公司,苏州市排水有限公司福星污水处理厂,18.0,6104.48,AAO+改良交替式+AAOAO活性污泥法,高效沉淀+V型滤池,次氯酸钠、紫外线消毒,332.0,13.4,173.0,1.88,147.0,5.15,30.5,0.34,42.4,7.57,4.55,0.12,2831300.0,A2O法+传统活性污泥法,Modified A2O
20,苏州市,姑苏区,苏州市排水有限公司,苏州市排水有限公司娄江污水处理厂,14.0,4755.26,改良交替式+AAOAO活性污泥法,高效沉淀+V型滤池,次氯酸钠、紫外线消毒,330.0,14.0,174.0,1.89,151.0,5.0,29.4,0.38,40.4,7.63,4.48,0.11,1925800.0,A2O法+传统活性污泥法,Modified A2O
